2018-03-26 00:13:07,RT @greene_lizzy: HEARTBROKEN about the incident aboard #UnitedAirlines Animals are so vulnerable to humans and how we care for them.   I l…
2018-03-25 23:56:55,"#UnitedAirlines #smh #ShameOnYou Of all US airlines, United had the highest rate of pet deaths in 2017. And in 2016… https://t.co/FxrS47mc4G"
2018-03-25 23:54:02,"Baltimore to Mexico City, Mexico for only $243 roundtrip with United Airlines. #UnitedAirlines #MexicoCity https://t.co/4BBpoHAYtn"
2018-03-25 23:53:50,RT @MikeBermanNBC: #UnitedAirlines Flight attendant: “Congratulations to all the #Loyola fans and Sister Jean!”
2018-03-25 23:48:03,"Phoenix, Arizona to Toronto, Canada for only $287 roundtrip with United Airlines and Air Canada. #UnitedAirlines… https://t.co/WEZZYZJ2CB"
2018-03-25 23:48:02,"Phoenix, Arizona to Toronto, Canada for only $287 roundtrip with United Airlines and Air Canada. #UnitedAirlines… https://t.co/8JI9GlUUGT"
2018-03-25 23:48:02,"Phoenix, Arizona to Toronto, Canada for only $287 roundtrip with United Airlines and Air Canada. #UnitedAirlines… https://t.co/CEV95GKJen"
2018-03-25 23:47:40,#help #airtravel #flights #international #peanut #allergy does anyone know of international air carriers that do no… https://t.co/2HAH9JVl86
2018-03-25 23:39:44,"@united just checked the terms and conditions of my ticket (again) and sure enough, if the bag fits the dimensions… https://t.co/UDtaD5mRVx"
2018-03-25 22:45:47,Lawd Hammercy! Trying to think of another service company I pay to be late! #airwisconsin is always late and the cr… https://t.co/YHYQ6Slzr8
2018-03-25 22:41:59,".@united Really cool how the gate staff said they were out of space in the overhead bins on Flight 1941, and made p… https://t.co/yoDqtZa7e9"
2018-03-25 22:24:27,"We provide 24/7 customer support services to business across all industries, answering queries and resolving issues… https://t.co/OxjeAeEORV"
2018-03-25 22:22:48,"Great flight home, @united - there were some grumpy passengers on that plane, but Tyler and the entire flight crew… https://t.co/OHE0VFs9RP"
2018-03-25 22:19:45,"None of your #business
#deltaairlines #UnitedAirlines...
...and neither will I be FOREVER.

#BoycottDeltaAirlines… https://t.co/1We6KhQu4p"
2018-03-25 22:13:59,RT @lattartist: It keeps getting worse! Reported that the flight attendant says she didn’t know there was a dog in the carrier. BULLSHIT! E…
2018-03-25 22:10:31,RT @PolToons: United Airlines Flight Attendant Kills Dog #UnitedAirlines #DidntHear or DontListen? #BoycottUnited https://t.co/FYHtspvMv1 h…
2018-03-25 22:08:48,@united Just got home from my flight and this has by far been the worst experience with United to date. You destroy… https://t.co/38ivzBy8js
2018-03-25 21:36:26,My favorite thing is the beautiful pictures I take &amp; the memories I make 😃✈️ #GantAwayWithUA @GantTravel… https://t.co/fTBBBWsCfO
